Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Sales
NCW05,,Low Fat,0.147356,Health and Hygiene,107.094,OUT027,1985,Medium,Tier 3,Supermarket Type3,2744.15
FDX27,20.7,Regular,0.114763,Dairy,95.1436,OUT017,2007,,Tier 2,Supermarket Type1,1763.68
DRM37,15.35,Low Fat,0.0965933,Soft Drinks,198.277,OUT045,2002,,Tier 2,Supermarket Type1,5003.32
FDA38,5.44,LF,0.0255316,Dairy,241.554,OUT045,2002,,Tier 2,Supermarket Type1,2539.32
FDR36,6.715,Regular,0.121586,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,942.888
FDZ45,14.1,Low Fat,0.066876,Snack Foods,198.808,OUT046,1997,Small,Tier 1,Supermarket Type1,3468.03
FDG05,11,Regular,0.088344,Frozen Foods,158.463,OUT017,2007,,Tier 2,Supermarket Type1,2151.93
FDK28,5.695,Low Fat,0.0655353,Frozen Foods,258.565,OUT013,1987,High,Tier 3,Supermarket Type1,6028.64
FDV47,17.1,Low Fat,0.0543175,Breads,85.7566,OUT045,2002,,Tier 2,Supermarket Type1,1479.7
FDN21,18.6,Low Fat,0.0770115,Snack Foods,160.524,OUT045,2002,,Tier 2,Supermarket Type1,1735.74
FDP20,,low fat,0.0454481,Fruits and Vegetables,127.202,OUT027,1985,Medium,Tier 3,Supermarket Type3,869.17
FDI35,14,Low Fat,0.0413749,Starchy Foods,181.763,OUT045,2002,,Tier 2,Supermarket Type1,4078.19
DRY23,9.395,reg,0.109006,Soft Drinks,43.3112,OUT013,1987,High,Tier 3,Supermarket Type1,482.965
FDA56,9.21,Low Fat,0.00881436,Fruits and Vegetables,122.741,OUT017,2007,,Tier 2,Supermarket Type1,1672.8
FDB09,16.25,Low Fat,0.0573483,Fruits and Vegetables,123.205,OUT013,1987,High,Tier 3,Supermarket Type1,1307.44
NCO26,,Low Fat,0.0764835,Household,117.349,OUT027,1985,Medium,Tier 3,Supermarket Type3,1948.09
FDQ49,20.2,Regular,0.0394076,Breakfast,156.563,OUT018,2009,Medium,Tier 3,Supermarket Type2,1042.32
FDI52,,Low Fat,0.104171,Frozen Foods,122.407,OUT027,1985,Medium,Tier 3,Supermarket Type3,1221.69
FDZ44,,Low Fat,0.0385415,Fruits and Vegetables,117.481,OUT027,1985,Medium,Tier 3,Supermarket Type3,1245.77
FDZ09,17.6,Low Fat,0.105306,Snack Foods,164.387,OUT018,2009,Medium,Tier 3,Supermarket Type2,2654.46
FDY03,17.6,Regular,0.0762402,Meat,113.12,OUT049,1999,Medium,Tier 1,Supermarket Type1,1627.06
NCG42,19.2,LF,0.041461,Household,129.931,OUT017,2007,,Tier 2,Supermarket Type1,1952.19
DRI13,,Low Fat,0.0202285,Soft Drinks,218.051,OUT027,1985,Medium,Tier 3,Supermarket Type3,2875.95
FDQ32,17.85,Regular,0.0465697,Fruits and Vegetables,125.639,OUT013,1987,High,Tier 3,Supermarket Type1,2520.3
FDW16,17.35,Regular,0.0414664,Frozen Foods,90.9804,OUT035,2004,Small,Tier 2,Supermarket Type1,1741.69
FDU27,18.6,Regular,0.171477,Meat,47.0376,OUT046,1997,Small,Tier 1,Supermarket Type1,1009.67
FDR28,13.85,Regular,0.0433454,Frozen Foods,162.821,OUT010,1998,,Tier 3,Grocery Store,839.657
FDQ49,20.2,Regular,0.0656927,Breakfast,158.163,OUT010,1998,,Tier 3,Grocery Store,-584.241
FDS37,7.655,Low Fat,0.0319449,Canned,116.149,OUT046,1997,Small,Tier 1,Supermarket Type1,1783.52
FDW26,11.8,Regular,0.107493,Dairy,220.477,OUT018,2009,Medium,Tier 3,Supermarket Type2,2841.19
FDX12,18.2,Regular,0.0261707,Baking Goods,241.12,OUT018,2009,Medium,Tier 3,Supermarket Type2,3696.28
NCP06,20.7,Low Fat,0.0392131,Household,150.737,OUT013,1987,High,Tier 3,Supermarket Type1,2129.46
FDW45,18,Low Fat,0.0652964,Snack Foods,145.242,OUT010,1998,,Tier 3,Grocery Store,922.625
NCN30,16.35,Low Fat,0.0170196,Household,94.541,OUT049,1999,Medium,Tier 1,Supermarket Type1,1346.3
FDN24,14.1,Low Fat,0.113444,Baking Goods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,1084.58
NCL41,,Low Fat,0.0415355,Health and Hygiene,32.8216,OUT027,1985,Medium,Tier 3,Supermarket Type3,136.868
FDR02,,Low Fat,0.0386341,Dairy,109.489,OUT019,1985,Small,Tier 1,Grocery Store,457.93
FDD09,13.5,Low Fat,0.0359806,Fruits and Vegetables,180.898,OUT010,1998,,Tier 3,Grocery Store,763.11
FDS33,6.67,Regular,0,Snack Foods,86.5514,OUT010,1998,,Tier 3,Grocery Store,-602.605
FDU22,12.35,Low Fat,0.0934858,Snack Foods,119.612,OUT045,2002,,Tier 2,Supermarket Type1,2893.93
FDI53,8.895,Regular,0.13753,Frozen Foods,162.524,OUT013,1987,High,Tier 3,Supermarket Type1,1788.23
DRH01,17.5,Low Fat,0.0980562,Soft Drinks,175.774,OUT049,1999,Medium,Tier 1,Supermarket Type1,3240.06
FDX32,15.1,Regular,0.0997751,Fruits and Vegetables,142.979,OUT013,1987,High,Tier 3,Supermarket Type1,2426.61
NCP30,20.5,Low Fat,0.0329022,Household,39.7822,OUT018,2009,Medium,Tier 3,Supermarket Type2,399.957
FDB60,9.3,Low Fat,0.0285799,Baking Goods,195.914,OUT045,2002,,Tier 2,Supermarket Type1,3098.95
FDB14,20.25,Regular,0.102884,Canned,93.412,OUT049,1999,Medium,Tier 1,Supermarket Type1,1873.9
NCP02,7.105,Low Fat,0.0448003,Household,58.0562,OUT035,2004,Small,Tier 2,Supermarket Type1,837.517
FDJ10,5.095,Regular,0.130236,Snack Foods,140.384,OUT017,2007,,Tier 2,Supermarket Type1,1826.35
FDG34,11.5,Regular,0,Snack Foods,110.525,OUT046,1997,Small,Tier 1,Supermarket Type1,1631.67
NCB18,19.6,Low Fat,0.0415247,Household,87.8514,OUT017,2007,,Tier 2,Supermarket Type1,1973.93
FDM16,8.155,Regular,0.0336076,Frozen Foods,74.2354,OUT049,1999,Medium,Tier 1,Supermarket Type1,1615.8
FDW25,5.175,Low Fat,0.0375513,Canned,84.1224,OUT018,2009,Medium,Tier 3,Supermarket Type2,713.279
FDB35,12.3,Regular,0.108159,Starchy Foods,91.2804,OUT010,1998,,Tier 3,Grocery Store,-310.448
DRN11,7.85,Low Fat,0.162845,Hard Drinks,143.244,OUT013,1987,High,Tier 3,Supermarket Type1,2269.31
FDF41,,Low Fat,0.229679,Frozen Foods,248.246,OUT019,1985,Small,Tier 1,Grocery Store,1737.94
FDH16,10.5,Low Fat,0.0526619,Frozen Foods,88.183,OUT045,2002,,Tier 2,Supermarket Type1,1290.73
NCQ50,18.75,Low Fat,0.0344471,Household,212.522,OUT018,2009,Medium,Tier 3,Supermarket Type2,4193.53
DRH23,14.65,Low Fat,0.171012,Hard Drinks,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,639.582
DRJ37,10.8,Low Fat,0.0610505,Soft Drinks,151.902,OUT013,1987,High,Tier 3,Supermarket Type1,2743.57
DRJ24,,Low Fat,0.11278,Soft Drinks,184.792,OUT027,1985,Medium,Tier 3,Supermarket Type3,2242.48
FDY16,18.35,Regular,0.0922093,Frozen Foods,183.427,OUT035,2004,Small,Tier 2,Supermarket Type1,3143.56
FDQ27,5.19,Regular,0.0443424,Meat,105.199,OUT045,2002,,Tier 2,Supermarket Type1,2158.14
FDZ33,10.195,Low Fat,0.107615,Snack Foods,148.608,OUT045,2002,,Tier 2,Supermarket Type1,2143.92
FDF29,15.1,Regular,0.0199746,Frozen Foods,131.331,OUT045,2002,,Tier 2,Supermarket Type1,2335.42
FDA08,11.85,Regular,0.050163,Fruits and Vegetables,163.153,OUT049,1999,Medium,Tier 1,Supermarket Type1,2075.06
FDG31,12.15,Low Fat,0,Meat,65.1826,OUT046,1997,Small,Tier 1,Supermarket Type1,1014.75
FDE34,,low fat,0,Snack Foods,183.363,OUT019,1985,Small,Tier 1,Grocery Store,1764.34
NCR30,,Low Fat,0.0706492,Household,73.7696,OUT027,1985,Medium,Tier 3,Supermarket Type3,481.14
FDV33,9.6,Regular,0.0273384,Snack Foods,258.13,OUT035,2004,Small,Tier 2,Supermarket Type1,3125.89
DRZ24,7.535,Low Fat,0,Soft Drinks,120.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,2267.4
NCL54,12.6,Low Fat,0.0827382,Household,173.505,OUT035,2004,Small,Tier 2,Supermarket Type1,3166.31
FDR12,12.6,Regular,0.0315838,Baking Goods,172.876,OUT049,1999,Medium,Tier 1,Supermarket Type1,2060.58
NCC54,17.75,Low Fat,0.0977109,Health and Hygiene,241.92,OUT046,1997,Small,Tier 1,Supermarket Type1,4490.58
DRN59,15,Low Fat,0,Hard Drinks,45.906,OUT013,1987,High,Tier 3,Supermarket Type1,551.963
FDX50,,Low Fat,0.130663,Dairy,110.323,OUT019,1985,Small,Tier 1,Grocery Store,-343.649
FDV31,,Low Fat,0.106201,Fruits and Vegetables,178.437,OUT027,1985,Medium,Tier 3,Supermarket Type3,2044.85
NCA29,,Low Fat,0.0271443,Household,172.811,OUT027,1985,Medium,Tier 3,Supermarket Type3,2814.67
FDW60,5.44,Regular,0.0170885,Baking Goods,176.837,OUT049,1999,Medium,Tier 1,Supermarket Type1,3156.27
FDX08,12.85,Low Fat,0.0227319,Fruits and Vegetables,182.432,OUT017,2007,,Tier 2,Supermarket Type1,2322.63
DRD49,9.895,Low Fat,0.167691,Soft Drinks,236.456,OUT013,1987,High,Tier 3,Supermarket Type1,3617.22
FDD33,12.85,Low Fat,0.108193,Fruits and Vegetables,231.264,OUT046,1997,Small,Tier 1,Supermarket Type1,3455.69
FDW35,10.6,Low Fat,0.01108,Breads,42.2454,OUT013,1987,High,Tier 3,Supermarket Type1,656.876
FDJ36,14.5,Regular,0.128986,Baking Goods,102.933,OUT017,2007,,Tier 2,Supermarket Type1,1590.92
FDV51,16.35,Low Fat,0.0325327,Meat,166.384,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.71
FDW36,11.15,Low Fat,0.0569326,Baking Goods,106.462,OUT046,1997,Small,Tier 1,Supermarket Type1,1128.95
FDH35,18.25,Low Fat,0.0602486,Starchy Foods,165.253,OUT046,1997,Small,Tier 1,Supermarket Type1,2124.36
NCS30,,Low Fat,0.0925757,Household,130.965,OUT027,1985,Medium,Tier 3,Supermarket Type3,2216
FDN49,17.25,Regular,0.125933,Breakfast,38.248,OUT017,2007,,Tier 2,Supermarket Type1,794.603
FDL08,10.8,Low Fat,0.0499216,Fruits and Vegetables,246.014,OUT018,2009,Medium,Tier 3,Supermarket Type2,3255.84
FDI09,20.75,Regular,0.12923,Seafood,240.088,OUT013,1987,High,Tier 3,Supermarket Type1,4125.59
FDP19,11.5,Low Fat,0.174223,Fruits and Vegetables,129.465,OUT018,2009,Medium,Tier 3,Supermarket Type2,1891.67
FDU21,11.8,Regular,0.128414,Snack Foods,33.0558,OUT010,1998,,Tier 3,Grocery Store,-1497.77
NCP41,16.6,Low Fat,0.0162436,Health and Hygiene,107.66,OUT045,2002,,Tier 2,Supermarket Type1,1634.83
FDY10,17.6,Low Fat,0.049027,Snack Foods,112.618,OUT013,1987,High,Tier 3,Supermarket Type1,2091.7
FDP12,9.8,Regular,0.0454512,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,75.9243
NCN26,10.85,Low Fat,0.0287245,Household,116.081,OUT049,1999,Medium,Tier 1,Supermarket Type1,2685.36
FDK44,16.6,LF,0.122126,Fruits and Vegetables,174.474,OUT013,1987,High,Tier 3,Supermarket Type1,2061.8
FDC28,7.905,Low Fat,0.0550724,Frozen Foods,109.125,OUT049,1999,Medium,Tier 1,Supermarket Type1,1514.45
FDJ41,,Low Fat,0.0227725,Frozen Foods,263.259,OUT027,1985,Medium,Tier 3,Supermarket Type3,3376.18
NCT29,12.6,Low Fat,0.0640986,Health and Hygiene,123.541,OUT035,2004,Small,Tier 2,Supermarket Type1,345.531
NCH42,,Low Fat,0.0639721,Household,228.401,OUT019,1985,Small,Tier 1,Grocery Store,2311.51
FDU60,20,Regular,0.0601451,Baking Goods,167.113,OUT018,2009,Medium,Tier 3,Supermarket Type2,3443.09
FDS02,10.195,Regular,0.146163,Dairy,193.179,OUT045,2002,,Tier 2,Supermarket Type1,3664.88
FDC51,10.895,Regular,0.00962186,Dairy,123.073,OUT046,1997,Small,Tier 1,Supermarket Type1,2093.08
FDU03,18.7,Regular,0.0915017,Meat,182.629,OUT013,1987,High,Tier 3,Supermarket Type1,2390.29
FDX39,14.3,Regular,0.0497769,Meat,211.759,OUT045,2002,,Tier 2,Supermarket Type1,3935.01
NCY05,13.5,Low Fat,0.092042,Health and Hygiene,36.6874,OUT010,1998,,Tier 3,Grocery Store,-1397.05
NCL06,,Low Fat,0.0717176,Household,259.959,OUT027,1985,Medium,Tier 3,Supermarket Type3,3248.03
FDD32,17.7,Regular,0,Fruits and Vegetables,80.0276,OUT035,2004,Small,Tier 2,Supermarket Type1,1147.24
NCN41,17,Low Fat,0.0523152,Health and Hygiene,122.773,OUT045,2002,,Tier 2,Supermarket Type1,1919.91
NCX53,20.1,Low Fat,0.0149611,Health and Hygiene,141.515,OUT049,1999,Medium,Tier 1,Supermarket Type1,3078.09
FDU57,,Regular,0.156798,Snack Foods,149.871,OUT019,1985,Small,Tier 1,Grocery Store,944.643
FDQ23,6.55,Low Fat,0.0245258,Breads,104.033,OUT046,1997,Small,Tier 1,Supermarket Type1,2132.83
FDQ52,17,Low Fat,0.119627,Frozen Foods,249.043,OUT045,2002,,Tier 2,Supermarket Type1,4832.45
FDC14,14.5,Regular,0.0413327,Canned,40.1454,OUT045,2002,,Tier 2,Supermarket Type1,920.356
FDY09,15.6,Low Fat,0.0251954,Snack Foods,176.805,OUT035,2004,Small,Tier 2,Supermarket Type1,2123.83
FDQ28,14,Regular,0.0605496,Frozen Foods,156.466,OUT045,2002,,Tier 2,Supermarket Type1,2334.97
FDV25,5.905,LF,0.0456522,Canned,221.046,OUT046,1997,Small,Tier 1,Supermarket Type1,5361.4
FDJ07,7.26,Low Fat,0.0144208,Meat,116.215,OUT035,2004,Small,Tier 2,Supermarket Type1,2209.1
DRB25,12.3,Low Fat,0.0695677,Soft Drinks,106.094,OUT049,1999,Medium,Tier 1,Supermarket Type1,1851.35
FDK52,,Low Fat,0.138702,Frozen Foods,225.406,OUT019,1985,Small,Tier 1,Grocery Store,2471.85
FDY52,,Low Fat,0.0073127,Frozen Foods,63.1536,OUT027,1985,Medium,Tier 3,Supermarket Type3,745.405
FDB28,6.615,Low Fat,0.0933854,Dairy,197.843,OUT046,1997,Small,Tier 1,Supermarket Type1,2465.84
FDT36,12.3,Low Fat,0.111254,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,1101.11
FDV25,5.905,Low Fat,0.0459105,Canned,222.146,OUT017,2007,,Tier 2,Supermarket Type1,5397.51
NCN07,,Low Fat,0.0337803,Others,130.428,OUT027,1985,Medium,Tier 3,Supermarket Type3,1482.71
FDC57,20.1,Regular,0.0549033,Fruits and Vegetables,193.282,OUT017,2007,,Tier 2,Supermarket Type1,2381.3
FDQ03,15,Regular,0.0783321,Meat,236.725,OUT018,2009,Medium,Tier 3,Supermarket Type2,1961.52
FDU23,12.15,Low Fat,0.0218464,Breads,167.118,OUT017,2007,,Tier 2,Supermarket Type1,3275.1
NCX41,19,Low Fat,0.0177159,Health and Hygiene,212.624,OUT035,2004,Small,Tier 2,Supermarket Type1,3119.62
NCD06,13,Low Fat,0.0993065,Household,46.706,OUT035,2004,Small,Tier 2,Supermarket Type1,808.384
FDW08,12.1,LF,0.148682,Fruits and Vegetables,106.728,OUT045,2002,,Tier 2,Supermarket Type1,1389.99
NCU29,7.685,LF,0.0256216,Health and Hygiene,145.076,OUT017,2007,,Tier 2,Supermarket Type1,3567.95
NCE06,5.825,Low Fat,0.0914091,Household,160.989,OUT013,1987,High,Tier 3,Supermarket Type1,1849.13
FDV52,20.7,Regular,0.203401,Frozen Foods,117.947,OUT010,1998,,Tier 3,Grocery Store,615.101
FDB02,9.695,Regular,0.0293292,Canned,176.637,OUT017,2007,,Tier 2,Supermarket Type1,3527.06
NCR18,15.85,Low Fat,0.0205292,Household,42.9112,OUT045,2002,,Tier 2,Supermarket Type1,666.591
FDK16,9.065,Low Fat,0,Frozen Foods,94.4094,OUT049,1999,Medium,Tier 1,Supermarket Type1,1708.51
NCQ29,12,Low Fat,0.17446,Health and Hygiene,258.728,OUT010,1998,,Tier 3,Grocery Store,194.109
FDZ01,,Regular,0.0158609,Canned,103.499,OUT019,1985,Small,Tier 1,Grocery Store,304.307
FDW27,5.86,Regular,0.150825,Meat,157.031,OUT035,2004,Small,Tier 2,Supermarket Type1,2691.66
FDD17,7.5,Low Fat,0.0327599,Frozen Foods,237.891,OUT018,2009,Medium,Tier 3,Supermarket Type2,3410.17
FDW39,6.69,Regular,0.0368797,Meat,176.637,OUT013,1987,High,Tier 3,Supermarket Type1,2272.17
DRH59,10.8,Low Fat,0.058552,Hard Drinks,72.638,OUT045,2002,,Tier 2,Supermarket Type1,1340.36
FDS52,8.89,Low Fat,0.00546996,Frozen Foods,101.702,OUT013,1987,High,Tier 3,Supermarket Type1,1647.4
FDU40,,Low Fat,0.0372228,Frozen Foods,195.248,OUT027,1985,Medium,Tier 3,Supermarket Type3,2119.54
NCF54,18,Low Fat,0.0473376,Household,173.642,OUT013,1987,High,Tier 3,Supermarket Type1,2872.03
FDH46,6.935,Regular,0.041366,Snack Foods,102.833,OUT045,2002,,Tier 2,Supermarket Type1,1446.14
NCP14,8.275,Low Fat,0.110461,Household,103.631,OUT049,1999,Medium,Tier 1,Supermarket Type1,2529.11
FDH50,15,Regular,0,Canned,185.227,OUT049,1999,Medium,Tier 1,Supermarket Type1,2427.48
DRF15,18.35,Low Fat,0.0555934,Dairy,153.534,OUT010,1998,,Tier 3,Grocery Store,-712.194
FDV27,,Regular,0.0397964,Meat,87.4514,OUT027,1985,Medium,Tier 3,Supermarket Type3,963.979
NCJ06,20.1,Low Fat,0.0347065,Household,120.178,OUT049,1999,Medium,Tier 1,Supermarket Type1,1756.57
FDN02,16.5,Low Fat,0.0741285,Canned,205.464,OUT018,2009,Medium,Tier 3,Supermarket Type2,3106.36
FDQ51,16,Regular,0.0175786,Meat,45.9718,OUT049,1999,Medium,Tier 1,Supermarket Type1,1073.72
FDQ07,15.1,Regular,0.0879013,Fruits and Vegetables,222.746,OUT017,2007,,Tier 2,Supermarket Type1,4136.25
FDS45,5.175,reg,0.0295418,Snack Foods,105.162,OUT049,1999,Medium,Tier 1,Supermarket Type1,2435.46
NCJ06,20.1,Low Fat,0.0347229,Household,121.178,OUT045,2002,,Tier 2,Supermarket Type1,1784.06
FDD36,13.3,Low Fat,0.0212695,Baking Goods,117.212,OUT035,2004,Small,Tier 2,Supermarket Type1,2124.49
FDY25,12,Low Fat,0.0340433,Canned,182.598,OUT045,2002,,Tier 2,Supermarket Type1,4363.61
FDU52,7.56,Low Fat,0.0637709,Frozen Foods,154.963,OUT046,1997,Small,Tier 1,Supermarket Type1,2633.03
DRK47,7.905,LF,0.0644268,Hard Drinks,227.069,OUT017,2007,,Tier 2,Supermarket Type1,3307.91
NCL30,18.1,Low Fat,0.0492173,Household,128.434,OUT017,2007,,Tier 2,Supermarket Type1,1720.52
FDN22,18.85,Regular,0.138279,Snack Foods,251.872,OUT035,2004,Small,Tier 2,Supermarket Type1,3489.19
NCF30,,Low Fat,0.125633,Household,126.236,OUT027,1985,Medium,Tier 3,Supermarket Type3,1751.34
FDK03,12.6,Regular,0.0739065,Dairy,256.236,OUT035,2004,Small,Tier 2,Supermarket Type1,4945.29
FDT45,15.85,Low Fat,0.0576376,Snack Foods,55.0956,OUT017,2007,,Tier 2,Supermarket Type1,1016.28
NCC54,,Low Fat,0.0972378,Health and Hygiene,239.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,4103.88
FDP08,20.5,Regular,0.112868,Fruits and Vegetables,195.348,OUT018,2009,Medium,Tier 3,Supermarket Type2,2971.65
FDU44,12.15,Regular,0.0584257,Fruits and Vegetables,163.255,OUT046,1997,Small,Tier 1,Supermarket Type1,4334.23
DRG39,14.15,Low Fat,0.042173,Dairy,52.7982,OUT035,2004,Small,Tier 2,Supermarket Type1,1173.27
FDU32,8.785,Low Fat,0.026008,Fruits and Vegetables,121.941,OUT049,1999,Medium,Tier 1,Supermarket Type1,1790.67
FDY27,6.38,Low Fat,0,Dairy,178.534,OUT049,1999,Medium,Tier 1,Supermarket Type1,2453.73
NCP54,15.35,Low Fat,0.0351204,Household,123.073,OUT013,1987,High,Tier 3,Supermarket Type1,2208.08
NCZ41,19.85,Low Fat,0.0645214,Health and Hygiene,126.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1867.58
DRL49,13.15,Low Fat,0.0563821,Soft Drinks,143.481,OUT013,1987,High,Tier 3,Supermarket Type1,1262.53
FDI05,8.35,Regular,0.127387,Frozen Foods,76.4354,OUT018,2009,Medium,Tier 3,Supermarket Type2,1183.01
FDY56,16.35,Regular,0.062538,Fruits and Vegetables,226.506,OUT045,2002,,Tier 2,Supermarket Type1,4469.48
DRC13,8.26,Regular,0.0324146,Soft Drinks,124.973,OUT013,1987,High,Tier 3,Supermarket Type1,1689.83
NCV29,11.8,Low Fat,0.0229727,Health and Hygiene,179.569,OUT017,2007,,Tier 2,Supermarket Type1,2769.39
FDR24,17.35,Regular,0.0629494,Baking Goods,88.983,OUT049,1999,Medium,Tier 1,Supermarket Type1,1127.02
FDZ34,6.695,Low Fat,0.0761876,Starchy Foods,191.382,OUT018,2009,Medium,Tier 3,Supermarket Type2,4475.33
FDP37,15.6,Low Fat,0.143079,Breakfast,126.499,OUT035,2004,Small,Tier 2,Supermarket Type1,2487.6
FDX08,,Low Fat,0.0224946,Fruits and Vegetables,180.932,OUT027,1985,Medium,Tier 3,Supermarket Type3,1998.18
FDS57,15.5,Low Fat,0.103652,Snack Foods,141.447,OUT045,2002,,Tier 2,Supermarket Type1,2052.62
NCG18,15.3,Low Fat,0.0230136,Household,102.433,OUT049,1999,Medium,Tier 1,Supermarket Type1,2328.9
FDK25,11.6,Regular,0.157471,Breakfast,168.947,OUT018,2009,Medium,Tier 3,Supermarket Type2,3380.41
FDH53,20.5,Regular,0.0192296,Frozen Foods,80.9592,OUT049,1999,Medium,Tier 1,Supermarket Type1,1568.32
DRI59,9.5,Low Fat,0.041001,Hard Drinks,223.009,OUT018,2009,Medium,Tier 3,Supermarket Type2,4345.52
FDA52,16.2,Regular,0.128422,Frozen Foods,177.237,OUT046,1997,Small,Tier 1,Supermarket Type1,2415.81
FDT20,10.5,Low Fat,0.0692875,Fruits and Vegetables,38.3164,OUT010,1998,,Tier 3,Grocery Store,-1289.12
FDE36,,Regular,0.0731381,Baking Goods,162.587,OUT019,1985,Small,Tier 1,Grocery Store,2296.37
FDI24,10.3,LF,0.0791892,Baking Goods,174.737,OUT017,2007,,Tier 2,Supermarket Type1,3554.97
FDB28,6.615,Low Fat,0.0937658,Dairy,199.243,OUT018,2009,Medium,Tier 3,Supermarket Type2,2144.3
FDV11,9.1,Regular,0.0821297,Breads,176.905,OUT017,2007,,Tier 2,Supermarket Type1,2263.25
FDP01,20.75,Regular,0.0633259,Breakfast,154.168,OUT046,1997,Small,Tier 1,Supermarket Type1,1906.53
FDD34,,Low Fat,0.0157994,Snack Foods,161.721,OUT027,1985,Medium,Tier 3,Supermarket Type3,2240.03
FDJ50,,Low Fat,0.0214815,Canned,52.0982,OUT027,1985,Medium,Tier 3,Supermarket Type3,758.708
FDZ44,8.185,LF,0.0386968,Fruits and Vegetables,118.581,OUT013,1987,High,Tier 3,Supermarket Type1,1449.26
DRO59,11.8,Low Fat,0.054144,Hard Drinks,75.8012,OUT035,2004,Small,Tier 2,Supermarket Type1,1443.72
DRB48,16.75,reg,0.0249039,Soft Drinks,39.1822,OUT045,2002,,Tier 2,Supermarket Type1,831.904
FDR21,19.7,Low Fat,0.0672081,Snack Foods,175.337,OUT018,2009,Medium,Tier 3,Supermarket Type2,2129.02
NCE42,21.1,Low Fat,0.0177461,Household,234.796,OUT010,1998,,Tier 3,Grocery Store,790.313
FDO23,17.85,Low Fat,0.146427,Breads,93.4436,OUT046,1997,Small,Tier 1,Supermarket Type1,1648.22
NCE30,16,Low Fat,0.0995399,Household,212.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,2205.29
FDQ22,16.75,LF,0.029734,Snack Foods,37.6822,OUT035,2004,Small,Tier 2,Supermarket Type1,572.594
FDY01,11.8,Regular,0.170629,Canned,115.383,OUT045,2002,,Tier 2,Supermarket Type1,1931.99
FDS08,5.735,Low Fat,0.0572834,Fruits and Vegetables,177.837,OUT017,2007,,Tier 2,Supermarket Type1,1527.18
FDG28,9.285,Regular,0.049481,Frozen Foods,246.714,OUT018,2009,Medium,Tier 3,Supermarket Type2,2239.15
FDQ51,16,Regular,0.0176228,Meat,48.1718,OUT018,2009,Medium,Tier 3,Supermarket Type2,731.809
FDB05,5.155,LF,0.0836689,Frozen Foods,249.478,OUT017,2007,,Tier 2,Supermarket Type1,3536.01
FDO56,10.195,Regular,0.0450525,Fruits and Vegetables,116.581,OUT049,1999,Medium,Tier 1,Supermarket Type1,1645.08
FDE02,8.71,Low Fat,0,Canned,91.9778,OUT018,2009,Medium,Tier 3,Supermarket Type2,1309.57
FDN45,19.35,Low Fat,0.118771,Snack Foods,223.209,OUT017,2007,,Tier 2,Supermarket Type1,3295.13
FDS09,8.895,reg,0.081021,Snack Foods,49.0008,OUT013,1987,High,Tier 3,Supermarket Type1,869.291
NCA54,16.5,Low Fat,0.0367909,Household,181.432,OUT018,2009,Medium,Tier 3,Supermarket Type2,2397.88
FDP09,19.75,Low Fat,0.0567247,Snack Foods,212.79,OUT010,1998,,Tier 3,Grocery Store,2059.41
FDC53,8.68,Low Fat,0.00885361,Frozen Foods,99.0384,OUT045,2002,,Tier 2,Supermarket Type1,1391.85
NCM55,15.6,Low Fat,0.0671036,Others,186.592,OUT017,2007,,Tier 2,Supermarket Type1,3089.07
FDL09,19.6,Regular,0.128558,Snack Foods,169.082,OUT018,2009,Medium,Tier 3,Supermarket Type2,1802.43
FDA11,,Low Fat,0.0757056,Baking Goods,93.2436,OUT019,1985,Small,Tier 1,Grocery Store,202.341
FDA50,16.25,Low Fat,0.0873519,Dairy,94.541,OUT045,2002,,Tier 2,Supermarket Type1,1663.74
FDC23,18,Low Fat,0.0180075,Starchy Foods,178.969,OUT017,2007,,Tier 2,Supermarket Type1,3541.6
FDE22,9.695,Low Fat,0.0296188,Snack Foods,158.892,OUT049,1999,Medium,Tier 1,Supermarket Type1,2141.27
FDD23,9.5,Regular,0.0486855,Starchy Foods,186.89,OUT046,1997,Small,Tier 1,Supermarket Type1,3594.05
NCA29,10.5,Low Fat,0.0273188,Household,172.711,OUT049,1999,Medium,Tier 1,Supermarket Type1,3057.27
FDK38,6.65,Low Fat,0.0532899,Canned,147.073,OUT046,1997,Small,Tier 1,Supermarket Type1,2220.56
DRC13,8.26,Regular,0.0324416,Soft Drinks,121.673,OUT046,1997,Small,Tier 1,Supermarket Type1,1663.12
NCP43,17.75,Low Fat,0.0305545,Others,179.166,OUT049,1999,Medium,Tier 1,Supermarket Type1,2847.79
FDX28,6.325,Low Fat,0.125373,Frozen Foods,99.7042,OUT049,1999,Medium,Tier 1,Supermarket Type1,1844.1
